DV0,DV1,DV2,DV3,AIN0,AIN1,AIN2,AIN3,time_stamp_ms
-143,-142,0,0,274,277,277,274,1592695864587
-143,-143,0,0,274,277,276,276,1592695867022
-143,-143,0,0,275,277,276,274,1592695885352
-142,-142,0,0,275,277,277,276,1592695887781
-143,-142,0,0,275,277,276,276,1592695890212
-143,-142,0,-1,275,277,275,274,1592695892665
-142,-142,0,-1,275,276,275,275,1592695895102
-142,-143,0,0,275,277,276,276,1592695897532
-142,-143,0,0,275,277,277,276,1592695899962
-142,-142,0,0,275,277,276,276,1592695902382
-142,-143,0,0,275,276,277,276,1592695904756
-142,-142,0,0,275,277,276,276,1592695907182
-142,-143,0,0,275,277,276,276,1592695909612
-143,-143,0,0,275,277,276,276,1592695912041
-143,-142,0,-1,275,277,275,274,1592695914472
-143,-142,0,-1,275,277,275,273,1592695916901
-142,-142,0,-1,275,276,275,275,1592695919332
-142,-143,0,0,275,277,277,276,1592695921761
-142,-142,0,0,275,277,277,276,1592695924192
-143,-141,0,-1,275,277,275,274,1592695926622
-142,-142,0,-1,275,276,275,274,1592695929052
-142,-142,0,-1,275,277,277,273,1592695931425
-142,-142,0,-1,275,277,275,273,1592695933852
-142,-142,0,-1,275,276,275,275,1592695936281
-142,-143,0,0,275,277,277,276,1592695938712
-142,-142,0,0,275,277,277,276,1592695941142
-142,-142,0,-1,275,277,275,274,1592695943571
-143,-142,0,-1,275,277,274,274,1592695946002
-142,-142,0,-1,275,276,275,274,1592695948432
-142,-142,0,0,275,277,277,276,1592695950861
-142,-142,0,0,275,277,277,276,1592695953292
-142,-142,0,-1,275,277,275,275,1592695955722
-143,-142,0,-1,275,277,275,274,1592695958152
-142,-142,0,-1,275,276,274,274,1592695960582
-142,-142,0,0,275,277,276,276,1592695963012
-142,-142,0,0,275,277,277,276,1592695965442
-142,-142,0,0,275,277,276,276,1592695967872
-142,-141,0,-1,275,276,276,274,1592695970306
-142,-142,0,-1,275,276,274,273,1592695972732
-142,-142,0,-1,275,276,275,274,1592695975161
-142,-142,0,0,275,277,276,276,1592695977592
-142,-143,0,0,275,277,277,276,1592695980022
-142,-142,0,0,275,277,276,276,1592695982472
-142,-142,0,0,275,277,276,276,1592695984902
-142,-141,0,0,275,277,277,276,1592695987332
-142,-143,0,0,275,277,276,276,1592695989772
-142,-142,0,0,275,277,277,276,1592695992202
-142,-141,0,-1,275,277,275,274,1592695994632
-142,-141,0,-1,275,277,274,275,1592695997062
-142,-142,0,-1,275,278,276,274,1592695999435
-142,-141,0,-1,275,277,274,275,1592696001945
-142,-142,0,-1,275,276,276,274,1592696004483
-142,-142,0,-1,275,276,277,276,1592696007100
-142,-142,0,0,275,275,276,275,1592696009786
-142,-142,0,-1,275,276,276,275,1592696012326
-142,-141,0,0,275,276,276,274,1592696014846
-142,-141,0,0,275,276,274,275,1592696017376
-142,-142,0,0,275,276,274,275,1592696019906
-142,-142,0,0,276,276,275,273,1592696022446
-142,-142,0,0,276,275,276,274,1592696024966
-142,-142,0,0,276,275,275,276,1592696027484
-142,-142,0,-1,276,277,274,275,1592696030006
-142,-142,0,-1,276,275,276,273,1592696032546
-142,-142,0,-1,276,276,276,275,1592696035066
-142,-142,0,-1,276,275,276,273,1592696037596
-142,-142,0,-1,276,276,276,273,1592696040126
-142,-142,0,0,276,275,276,275,1592696042666
-142,-141,0,0,276,276,274,276,1592696045186
-142,-142,0,-1,276,275,276,273,1592696047726
-142,-142,0,-1,276,277,274,274,1592696050256
-142,-142,0,-1,276,275,274,275,1592696054137
-142,-141,0,0,276,275,274,276,1592696056666
-142,-141,0,0,276,276,273,274,1592696059177
-142,-142,0,0,276,275,276,273,1592696061800
-142,-141,0,0,276,275,275,275,1592696064469
-142,-142,0,-1,276,276,274,275,1592696067105
-142,-142,0,0,276,275,274,275,1592696070742
-142,-141,0,0,276,275,274,274,1592696074463
-142,-141,0,0,276,276,274,273,1592696077111
-142,-141,0,-1,276,275,274,273,1592696079770
-141,-142,0,0,276,275,275,273,1592696082443
-141,-142,0,0,276,275,276,276,1592696085180
-142,-141,0,0,276,275,275,275,1592696087897
-142,-141,0,0,276,275,276,274,1592696091976
-142,-142,0,0,276,275,274,273,1592696094625
-141,-141,0,0,276,276,274,273,1592696097116
-141,-141,0,0,276,275,276,273,1592696099686
-142,-140,0,-1,276,276,275,273,1592696102186
-142,-140,0,0,276,276,273,273,1592696104706
-142,-141,0,0,276,276,273,275,1592696107166
-141,-142,0,0,276,276,275,274,1592696109616
-141,-142,0,0,276,276,275,273,1592696112075
-141,-140,0,-1,276,275,273,272,1592696114523
-141,-140,0,-1,276,275,273,273,1592696116976
-141,-140,0,-1,276,275,273,272,1592696119423
-141,-140,0,-1,276,275,273,272,1592696121876
-141,-140,0,-1,276,275,273,272,1592696124326
-141,-140,0,-1,276,275,273,272,1592696126773
-141,-140,0,-1,276,275,273,272,1592696129223
-141,-140,0,-1,276,275,273,272,1592696131676
-141,-140,0,-1,276,275,273,272,1592696134126
-141,-140,0,-1,276,275,273,272,1592696136576
-141,-141,0,0,276,274,273,273,1592696139026
-140,-141,0,0,276,275,274,273,1592696141476
-140,-141,0,0,276,275,275,274,1592696143934
-141,-139,0,-1,277,274,273,272,1592696146383
-141,-139,0,-1,276,274,273,272,1592696148836
-141,-139,0,-1,277,274,273,272,1592696151286
-141,-139,0,-1,277,274,272,271,1592696153736
-141,-139,0,-1,277,275,273,273,1592696156196
-141,-139,0,-1,277,274,272,272,1592696158636
-140,-139,0,-1,277,274,272,271,1592696161086
-141,-140,0,-1,277,274,272,271,1592696163536
-141,-139,0,-1,277,274,272,272,1592696165983
-140,-139,0,-1,277,274,273,272,1592696168436
-140,-139,0,-1,277,274,272,272,1592696170893
-141,-139,0,0,277,274,272,272,1592696173345
-140,-140,0,0,277,275,275,274,1592696175807
-141,-138,0,0,277,275,272,274,1592696178306
-141,-139,0,0,277,274,272,272,1592696180836
-141,-138,0,0,277,275,272,273,1592696183366
-140,-139,0,-1,277,274,274,271,1592696185836
-140,-138,0,0,277,273,272,274,1592696188306
-140,-140,0,0,277,275,272,273,1592696190764
-141,-138,0,-1,277,274,273,272,1592696193228
-140,-139,0,0,277,273,272,273,1592696195741
-139,-140,0,0,277,273,274,272,1592696198208
-141,-139,0,0,277,273,273,273,1592696200746
-140,-140,0,0,277,274,272,271,1592696203232
-140,-139,0,0,277,274,273,273,1592696205637
-140,-138,0,-1,277,274,272,271,1592696208153
-141,-138,0,0,277,274,274,274,1592696210607
-139,-139,0,0,277,273,272,272,1592696213046
-141,-138,0,0,277,274,273,273,1592696215504
-139,-140,0,0,277,274,272,271,1592696218117
-139,-140,0,-1,277,275,273,271,1592696220596
-140,-138,0,0,277,274,273,271,1592696223106
-141,-138,0,0,277,274,272,273,1592696225466
-141,-138,0,-1,277,272,273,272,1592696227906
-140,-139,0,-1,277,274,271,271,1592696230357
-139,-140,0,-1,277,273,273,273,1592696232846
-140,-139,0,0,277,273,274,271,1592696235329
-140,-139,0,-1,277,272,273,273,1592696237832
-139,-138,0,0,277,273,273,273,1592696240266
-139,-139,0,0,277,273,273,273,1592696242804
-141,-138,0,0,277,272,274,270,1592696245332
-140,-139,0,-1,277,273,273,271,1592696247856
-140,-139,0,0,277,272,273,272,1592696250395
-139,-138,0,0,277,272,274,271,1592696252906
-140,-138,0,0,277,273,274,272,1592696255399
-140,-139,0,-1,277,274,272,272,1592696257894
-139,-138,0,0,277,273,273,270,1592696260345
-139,-138,0,0,277,272,273,271,1592696262835
-140,-138,0,-1,277,273,271,270,1592696265283
-139,-138,0,0,277,272,274,271,1592696267709
-139,-138,0,0,278,273,273,270,1592696270135
-139,-138,0,-1,278,272,272,270,1592696272750
-140,-138,0,0,278,272,272,270,1592696275344
-139,-137,0,-1,278,274,272,272,1592696277803
-138,-139,0,0,278,272,272,272,1592696280314
-140,-137,0,0,278,271,272,270,1592696282803
-140,-139,0,0,278,273,273,272,1592696285314
-138,-139,0,0,278,272,271,273,1592696288768
-139,-137,0,0,278,272,274,271,1592696291186
-138,-139,0,-1,278,273,271,270,1592696293600
-138,-137,0,0,278,272,271,271,1592696296070
-139,-137,0,0,278,273,272,270,1592696298596
-140,-137,0,0,278,273,270,272,1592696301116
-139,-138,0,-1,278,272,272,270,1592696303627
-138,-137,0,0,278,274,272,270,1592696306116
-138,-137,0,0,278,272,272,271,1592696308596
-139,-138,0,0,278,272,273,270,1592696311087
-138,-137,0,0,278,271,272,270,1592696313635
-139,-138,0,0,278,272,272,272,1592696316146
-137,-137,0,-1,278,272,273,270,1592696318631
-138,-137,0,0,278,272,272,272,1592696321158
-139,-137,0,0,278,272,273,270,1592696323661
-137,-137,0,0,278,272,273,270,1592696326186
-138,-137,0,0,278,273,272,269,1592696328685
-137,-138,0,0,278,272,272,269,1592696331185
-138,-138,0,0,278,273,270,272,1592696333696
-139,-137,0,-1,279,271,270,270,1592696336174
-137,-136,0,-1,278,272,271,270,1592696338627
-138,-136,0,-1,278,271,271,270,1592696341095
-139,-138,0,-1,278,274,272,269,1592696343486
-137,-137,0,0,278,271,271,272,1592696345953
-139,-137,0,0,278,272,270,269,1592696348446
-138,-137,0,-1,279,271,270,269,1592696350896
-138,-138,0,-1,278,272,270,272,1592696353409
-138,-137,0,0,278,271,270,272,1592696356337
-139,-138,0,0,278,271,270,269,1592696358812
-138,-137,0,0,278,272,270,272,1592696361306
-139,-138,0,0,278,272,272,272,1592696363778
-139,-137,0,0,278,271,270,271,1592696366276
-138,-136,0,0,278,270,269,272,1592696368757
-139,-138,0,0,278,272,270,269,1592696371230
-139,-137,0,0,278,273,271,269,1592696373856
-138,-137,0,0,278,271,270,272,1592696376339
-138,-136,0,-1,279,272,272,272,1592696378814
-137,-138,0,0,279,272,270,272,1592696381286
-138,-138,0,0,279,271,270,270,1592696383774
-138,-136,0,0,279,270,272,271,1592696386254
-137,-138,0,0,279,273,271,271,1592696388714
-138,-138,0,0,279,272,269,272,1592696391183
-138,-138,0,0,279,270,270,270,1592696393643
-138,-136,0,0,279,271,271,272,1592696396109
-138,-136,0,-1,279,273,272,272,1592696398569
-138,-138,0,0,279,272,271,272,1592696401035
-138,-137,0,0,279,271,272,272,1592696403493
-137,-138,0,0,279,272,272,272,1592696405948
-138,-138,0,0,279,271,273,271,1592696408408
-138,-137,0,-1,279,271,272,269,1592696410827
-137,-138,0,0,279,272,272,272,1592696413305
-137,-138,0,0,279,270,269,270,1592696415799
-138,-137,0,0,279,272,270,272,1592696418186
-138,-137,0,0,279,272,272,271,1592696420656
-138,-135,0,0,279,272,270,270,1592696423166
-136,-137,0,0,279,272,272,271,1592696425626
-138,-137,0,0,279,270,271,269,1592696428085
-137,-138,0,0,279,269,269,269,1592696430568
-136,-138,0,0,279,270,270,271,1592696433046
-136,-136,0,0,279,270,270,271,1592696435528
-138,-135,0,0,279,271,270,269,1592696437976
-136,-137,0,0,279,272,272,271,1592696440435
-136,-136,0,0,279,271,271,270,1592696442957
-136,-137,0,0,279,270,271,269,1592696445389
-136,-135,0,0,279,270,270,271,1592696447827
-138,-136,0,0,279,272,270,270,1592696450256
-138,-138,0,0,279,271,272,271,1592696452695
-138,-136,0,0,279,271,271,271,1592696455134
-138,-135,0,0,279,271,271,270,1592696457583
-136,-136,0,-1,279,272,272,272,1592696459992
-136,-137,0,0,279,269,272,269,1592696462521
-137,-135,0,0,279,271,272,269,1592696465096
-138,-137,0,0,279,269,270,269,1592696467708
-137,-138,0,0,279,271,272,270,1592696470246
-137,-137,0,0,279,271,271,269,1592696472776
-138,-135,0,0,279,270,271,271,1592696475376
-138,-137,0,0,279,271,270,271,1592696477964
-137,-136,0,0,279,272,269,271,1592696480485
-138,-137,0,0,279,271,270,269,1592696483008
-136,-137,0,0,279,270,270,270,1592696485486
-136,-137,0,0,279,269,272,271,1592696488042
-138,-135,0,0,279,269,271,269,1592696490616
-136,-137,0,0,279,271,272,271,1592696493131
-136,-135,0,0,279,270,270,271,1592696495675
-136,-135,0,0,279,272,272,271,1592696498135
-137,-135,0,0,279,270,269,269,1592696500596
-136,-135,0,0,279,272,270,270,1592696503106
-136,-134,0,0,279,270,271,270,1592696505717
-138,-137,0,0,279,270,271,270,1592696508366
-137,-135,0,0,279,270,272,269,1592696510896
-137,-135,0,0,279,271,270,270,1592696513433
-137,-135,0,0,280,271,269,271,1592696515946
-135,-137,0,0,280,270,272,269,1592696518481
-137,-136,0,0,280,271,270,270,1592696521006
-136,-136,0,0,280,269,271,270,1592696523546
-136,-137,0,0,280,270,271,269,1592696526076
-137,-135,0,0,280,271,269,271,1592696528616
-136,-135,0,0,280,270,270,271,1592696531146
-137,-136,0,0,279,271,269,269,1592696533692
-136,-135,0,0,279,269,271,269,1592696536226
-136,-137,0,0,279,270,269,271,1592696538802
-136,-135,0,0,279,269,270,271,1592696541326
-137,-135,0,0,279,271,270,271,1592696543841
-136,-135,0,0,279,269,270,271,1592696546376
-136,-136,0,0,279,269,271,270,1592696548906
-136,-137,0,0,279,269,271,269,1592696551446
-138,-135,0,0,279,271,271,269,1592696553966
-137,-136,0,0,279,271,270,270,1592696556491
-138,-135,0,0,279,272,269,271,1592696559026
-137,-135,0,0,279,270,270,270,1592696561562
-138,-138,0,0,278,271,271,270,1592696564096
-138,-137,0,0,277,271,269,271,1592696566624
-139,-136,0,-1,277,270,271,269,1592696569066
